node_id,label,name,category,description,source,weight
STRU_071c962056,Structure,大字体标识、大按键、扫码配置区、简化交互面板,老人易用性需求,用于实现“适老化交互与低学习成本操作功能”的关键结构配置。,映射数据库,1.0
STRU_74a2b7722e,Structure,轻量化外壳、可拆卸药仓、圆角便携外形,便携与场景适应需求,用于实现“便携式药盒携带与模块拆分功能”的关键结构配置。,映射数据库,1.0
STRU_002140a4bc,Structure,密封圈、食品级材料、可拆洗内胆、防潮盖体,安全卫生与防潮需求,用于实现“药品防潮密封与易清洁功能”的关键结构配置。,映射数据库,1.0
STRU_7dc9f017c4,Structure,低功耗主控、电池仓、充电接口、电量提示模块,续航与可靠性需求,用于实现“低功耗供电与可靠运行功能”的关键结构配置。,映射数据库,1.0
STRU_23c26ea409,Structure,圆角外壳、柔和配色、清晰状态灯、亲和化表面处理,外观与情感体验需求,用于实现“友好外观与家庭场景融合功能”的关键结构配置。,映射数据库,1.0
TOPIC_0,Topic,主题0,用户评论主题,质量、容量、服务、不错、提醒、做工、方便、物流、速度、很好,PurePythonKMeans+TF-IDF,100.0
TOPIC_1,Topic,主题1,用户评论主题,忘记、提醒、吃药、方便、药盒、再也、不会、再也不、记吃药、手机,PurePythonKMeans+TF-IDF,80.0
TOPIC_2,Topic,主题2,用户评论主题,药盒、提醒、手机、方便、吃药、智能药盒、智能、老人、小巧、时间,PurePythonKMeans+TF-IDF,108.0
TOPIC_3,Topic,主题3,用户评论主题,提醒、方便、手机、功能、提醒功能、吃药、老人、时间、按时、设置,PurePythonKMeans+TF-IDF,135.0
TOPIC_4,Topic,主题4,用户评论主题,外观、电池、提醒、药盒、方便、充电、老年人、纽扣电池、老人、吃药,PurePythonKMeans+TF-IDF,34.0
TOPIC_5,Topic,主题5,用户评论主题,小巧、方便、便携、提醒、很好、老人、药盒、出门、很方便、微信,PurePythonKMeans+TF-IDF,43.0
KEY_4b027f3979,Keyword,提醒,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.067163
KEY_e6af86c791,Keyword,方便,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.066778
KEY_932cb696d4,Keyword,药盒,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.048151
KEY_459b2580b1,Keyword,忘记,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.034249
KEY_cb736da326,Keyword,小巧,便携与场景适应需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.029541
KEY_2d5afc5257,Keyword,吃药,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.024075
KEY_3a7170b92e,Keyword,质量,续航与可靠性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.02306
KEY_9f9d36327d,Keyword,手机,远程监护需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.020175
KEY_fe7d74278a,Keyword,容量,药品分装与防错需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.020118
KEY_c3097ae1fd,Keyword,不错,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.019256
KEY_18e0ae80a0,Keyword,做工,续航与可靠性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.01836
KEY_3d5c04c981,Keyword,老人,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.017827
KEY_5b61c3f99f,Keyword,便携,便携与场景适应需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.016129
KEY_9f8bb8e209,Keyword,非常好用,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.015779
KEY_cc809c6e3b,Keyword,很好用,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.014939
KEY_e0fedda64b,Keyword,提醒功能,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.014561
KEY_997c7a5d34,Keyword,功能,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.014216
KEY_29558f2348,Keyword,好用,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.013908
KEY_745e25a85e,Keyword,很好,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.013739
KEY_afcde2611b,Keyword,外观,外观与情感体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.013361
KEY_a61f98de7b,Keyword,再也,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.013358
KEY_18f6f897be,Keyword,使用方便,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.013257
KEY_40dea0cab1,Keyword,不会,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.012997
KEY_d517acb68f,Keyword,简单,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.01252
KEY_19fcb9eb25,Keyword,时间,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.012503
KEY_0155703c7c,Keyword,很方便,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.012035
KEY_db35101dce,Keyword,再也不,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.011945
KEY_5531978668,Keyword,颜值,外观与情感体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.011236
KEY_649572e598,Keyword,非常好,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.011161
KEY_e0eb214c0b,Keyword,智能药盒,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.010581
KEY_27ff5f8ba6,Keyword,准时,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.010203
KEY_96658cef60,Keyword,智能,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.01014
KEY_ae2da6cddb,Keyword,携带方便,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.009847
KEY_9695732ea3,Keyword,很不错,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.009777
KEY_24fb4cdeca,Keyword,很智能,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.009468
KEY_2b6bc0f293,Keyword,操作,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.00858
KEY_a9298a8ff8,Keyword,做工精细,续航与可靠性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.008511
KEY_c34bd5d4dc,Keyword,药了,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.008327
KEY_381cb8f0d9,Keyword,提醒功,服药提醒需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.008308
KEY_5980c119a8,Keyword,方便实用,老人易用性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.008237
KEY_e3623348d2,Keyword,材质,安全卫生与防潮需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.008227
KEY_e88213375d,Keyword,质量不错,续航与可靠性需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007948
KEY_c7a84d5056,Keyword,值得购买,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007941
KEY_6bb02875d3,Keyword,不用,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007931
KEY_c2f8d93b6c,Keyword,设计合理,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.00785
KEY_fb111666f6,Keyword,记吃药,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007833
KEY_02d9819dda,Keyword,提示,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007748
KEY_bd6ea20ca1,Keyword,颜值高,外观与情感体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007579
KEY_7e4fcd4a0f,Keyword,按时,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007559
KEY_32973ce618,Keyword,特别,综合体验需求,TF-IDF 抽取的用户需求关键词,需求关键词提取结果,0.007521
