昵称,日期,评分,产品,评论
我的手太小,2026-01-11 11:07:02,5,已购 ⭐升级款（支持HUAWEI HiLink）,"1. 这款智能药盒太省心！定时提醒精准不遗漏，分格设计清晰防混药，小巧便携揣兜里就行。对需要长期服药的慢病患者特别友好，再也不怕忘吃药啦。
2. 颜值与实用并存的智能药盒，APP联动能记录服药情况，声光提醒超贴心。密封防潮做得好，分格容量够日常用药，给家里长辈用，省心又放心。
3. 性价比超高的智能药盒，操作简单老人也能轻松上手，定时震动提醒不扰人。分格可拆卸易清洗，续航给力充一次用好久，慢病管理好帮手！"
Aneu_X_,2026-02-17 21:27:26,5,已购 ⭐升级款（支持HUAWEI HiLink）,特别好用，还可以连微信有提醒到点儿的话，盒子会滴滴滴的响，如果不动它的话，它会停下，然后过一会儿再响响的时候还会亮灯，有效提醒自己，记得吃药非常适合需要经常按时吃药的人群推荐大家购买
齿间魔法,2026-02-13 10:55:35,5,已购 ⭐升级款（支持HUAWEI HiLink）,给老爸买了这个智能分装药合，真是太方便了，以前老忘记了吃药，有这个智能药合分装清楚，再贴上药名，可以一目了然，心里踏实多了，药合还有吃药提醒，可以连接手机微信提醒功能，从此不再漏服吃药。
尊***板,2026-02-27 16:07:39,5,已购 ⭐升级款（支持HUAWEI HiLink）,【智能药盒超实用！】精准定时提醒，分装便捷不串味，APP联动操作简易，老人小孩都能用。材质安全，续航持久，出差旅行必备，吃药再不会忘！强烈推荐！！
璞爱惠研,2026-01-03 18:38:24,5,已购 ⭐升级款（支持HUAWEI HiLink）,果实健康智能药盒产品主打&ldquo;一周分装＋微信同步提醒&rdquo;，体积小巧、白色仓体，支持 HUAWEI HiLink，试试，应该不错
穆落,2026-02-24 07:45:21,5,已购 ⭐升级款（支持HUAWEI HiLink）,这个带微信提醒功能的药盒太实用了！按时吃药再也不用靠记忆，手机直接提醒，特别适合我这种经常忘记服药的人，推荐给需要规律用药的朋友。
4inlove,2026-01-14 06:13:43,5,已购 ⭐升级款（支持HUAWEI HiLink）,以后要开始长期吃药了，需要买个药盒最好带提醒功能的，看了半天选择了果实健康智能药盒，它是支持小程序的还可以这次华为HiLink，非常不错。
钱***5,2025-08-29 12:34:15,5,已购 标准款（微信提醒+同步家人）,京东购物便捷，供货速度快，品质和售后有保障。这款智能药盒做工精致，大小适中，功能完全可以满足我的要求，密封性，便携性都特别好。
j***5,2025-07-01 19:07:13,5,已购 ⭐升级款（支持HUAWEI HiLink）,看起来比较精致也比较实用，可以提醒上下午时间段按时服用，其实我主要是一些保健品，护肝片，鱼油，芹菜籽和维生素什么的，因为偶尔应酬喝酒加上尿酸高，需要调理，不过之前没有这个提醒的时候就动不动忘记了，现在能每天记得也就不浪费买的这些调理的东西了，挺好的，性价比也不错，推荐好评。
少言567,2025-10-24 18:13:43,5,已购 标准款（微信提醒+同步家人）,这是第二次购买这个小药盒，本人因为有基础病，n多年前就买了这个药盒，一直用到至今，太旧了，所以更换了新的小药盒比原来的大了一圈，装药量更大了，吃药提示依然是那么贴心，我会一直使用下去
向往双子的牛,2025-10-14 09:24:52,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常好用的药盒，提醒很准时，还很省电，一个纽扣电池就可以用很久，非常棒，也不贵，非常值得推荐大家购买，再也不会忘了吃药了！
宝***安,2025-07-20 22:25:48,5,已购 ⭐升级款（支持HUAWEI HiLink）,这个智能药盒真的超级实用！方便携带药品💊，不用担心遗漏或过期的问题。设计简洁大方，材质也很棒，使用起来非常便捷。推荐给大家！👍
鱼***可,2025-12-04 12:06:04,5,已购 ⭐升级款（支持HUAWEI HiLink）,挺好的药盒，如果有一两个槽能合并就好了，毕竟把药剪下来放进去放不了多少，开了药放进去又和空气接触了不好，外观精致，使用感受极佳，产品质量超出预期，京东物流服务也很给力，五星好评。
A***y,2025-11-25 23:53:24,5,已购 ⭐升级款（支持HUAWEI HiLink）,做工还可以，4个小药仓，每个里面放15-20个左右的常规药粒可以的。1号仓旁边就是上电池的地方。 用小程序连蓝牙控制，设置好以后有不同的灯光提醒，到点会有滴滴滴的提示音，微信也可以收到提醒。
c***g,2025-11-03 14:59:09,5,已购 标准款（微信提醒+同步家人）,这个药盒有四个仓位，每个仓位可以单独设置不同的吃药时间和次数，和华为手机连接后很方便。提醒的声音大小适中。虽然仓位不是很大，但便于携带。非常推荐。
V***u,2025-06-14 21:21:59,5,已购 ⭐升级款（支持HUAWEI HiLink）,买过一个以后发现好用果断又入手了一个，再也不怕忘记吃补剂了，除了药盒自带的提醒还可以微信提醒，真的是太方便了
韵***唐,2025-07-19 22:30:13,5,已购 ⭐升级款（支持HUAWEI HiLink）,给家里的两个老人一人买了一个，因为家里老人一个有高血压，一个有糖尿病，而且还要吃一些嗯对心心脑血管比较有用的药，所以呢都要定时吃，尤其这个糖尿病的药。嗯，老人家之前呢吃饭之前老会忘记吃药，买了这个药盒以后呢，饭前就会提醒他吃药非常不错。
吉祥宝贝-,2025-09-03 17:42:56,5,已购 标准款（微信提醒+同步家人）,商品包装完好没有破损京东的配送速度很快小药盒质量很高而且还可以连接小程序非常的便捷微信也会提醒吃药非常的好会推荐给朋友和家里人购买
香蕉味的冰188,2026-01-17 09:25:26,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常不错的药盒 会提醒我什么时候吃药 这下不用带着很多药片盒子跑来跑去了
A***債,2025-12-17 22:06:32,5,已购 ⭐升级款（支持HUAWEI HiLink）,设计合理，方便携带，提示灯很贴心
东***t,2020-12-05 10:14:06,3,已购 标准款（微信提醒+同步家人）,服务很好，方便智能，声音偏小
无敌森妈,2026-02-15 19:34:28,5,已购 ⭐升级款（支持HUAWEI HiLink）,用了几天了，感觉很不错，如果能出充电款就更好了。
j***8,2026-04-04 23:00:06,5,已购 ⭐升级款（支持HUAWEI HiLink）,儿子一直在用，还可以，对于总记不住吃药的人比较适合！
心韵朗朗,2026-03-08 22:05:46,5,已购 标准款（微信提醒+同步家人）,非常非常好太方便了，准时提醒，药物提示灯太好了！
小侠灬,2026-05-16 16:39:02,5,已购 ⭐升级款（支持HUAWEI HiLink）,很好用，能够准时提醒吃药
j***0,2026-05-31 09:15:24,5,已购 ⭐升级款（支持HUAWEI HiLink）,产品质量很好！很好用！推荐给经常忘记吃药的人！
j***d,2026-04-21 19:00:06,5,已购 ⭐升级款（支持HUAWEI HiLink）,宝贝收到了，药盒质量不错满意
l***l,2025-08-05 21:26:43,5,已购 标准款（微信提醒+同步家人）,外观小巧有设计感。定时功能准确。提醒按时吃药
别***饭,2025-07-10 23:25:04,5,已购 ⭐升级款（支持HUAWEI HiLink）,药盒很精致，也很智能，质感很好。
0***g,2025-11-04 09:38:27,5,已购 ⭐升级款（支持HUAWEI HiLink）,链接方便，提醒用药时间准确，使用效果好。
叫我斗战胜佛,2025-08-10 10:53:17,5,已购 ⭐升级款（支持HUAWEI HiLink）,家里老人做了手术要终身服药，怕忘了，买了这个提醒，确实有点用。不用每天都记着这个事
你***我,2025-07-26 08:46:13,5,已购 ⭐升级款（支持HUAWEI HiLink）,有声音和灯光提示，微信上也有公众号提示，感觉很不错。容量也很满意。
孤***5,2025-10-15 17:56:58,5,已购 ⭐升级款（支持HUAWEI HiLink）,很实用，家里人就不会忘记吃高血压药了！很不错！！！
智***_,2025-07-23 14:36:10,5,已购 ⭐升级款（支持HUAWEI HiLink）,好，好，好用，连接华为，方便快捷，
j***r,2025-11-24 06:38:38,5,已购 ⭐升级款（支持HUAWEI HiLink）,定时提醒吃药 再也不会忘记了 做工精致 环保卫生
V***u,2025-06-14 21:05:10,5,已购 ⭐升级款（支持HUAWEI HiLink）,为了家人按时吃药买的药盒，设定好服药计划到点提醒非常好，再也不怕忘记吃药了
Y***7,2025-07-12 21:08:37,5,已购 ⭐升级款（支持HUAWEI HiLink）,使用后很方便，手机微信准时提醒，不会再忘记吃药了。谢谢
梦想家0827,2025-11-17 12:08:05,5,已购 ⭐升级款（支持HUAWEI HiLink）,给姥姥买的 很方便 按时提醒她吃药
j***7,2026-03-16 14:41:11,5,已购 ⭐升级款（支持HUAWEI HiLink）,确实好用每次都吃药要么忘记了，要么时间错过了，有了这个盒子，每天都能准时吃
j***h,2022-03-02 23:30:32,3,已购 标准款（微信提醒+同步家人）,药盒不错，但是附赠的电池没电
j***e,2025-12-24 15:56:25,5,已购 ⭐升级款（支持HUAWEI HiLink）,原来多次忘吃药，用上这智能药盒后，在也忘不了啦，很实用的药盒
h***v,2026-01-25 17:27:50,5,已购 ⭐升级款（支持HUAWEI HiLink）,设置时间可以到时提醒，不错不错，提醒老人按时服药特别有用
v***p,2026-01-07 16:32:26,5,已购 ⭐升级款（支持HUAWEI HiLink）,连接手机方便，设置简单，方便使用
w***d,2020-12-29 12:04:35,5,已购 标准款（微信提醒+同步家人）,比女朋友的提醒都来的及时！可以说是非常实用了，时间到的时候，盒子会发出声音提醒，手机也会有提醒，如果你忘了，隔十分钟会再次提醒！如果你还是忘了，再次间隔十分钟依然有提醒，就是那种蜂鸣音，不会太大声让你感觉吵闹，值得入手！
3***9,2020-06-22 11:33:03,5,已购 标准款（微信提醒+同步家人）,很好的一款智能药盒，外观很漂亮，简介大方，材质很好，功能很全，可以做到声音和双重提醒，APP可以看到用药情况，药品说明等，不足是只有四个药盒，对于用药种类比较多的就没法使用了，建议在改进一下，增加到8个药格子，这样对于老年人用起来更方便。
等***望,2021-03-09 19:59:12,5,已购 标准款（微信提醒+同步家人）,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买特别特别特别好，没有任何破损的地方，外观也好看，好评！
2***o,2020-12-02 21:44:46,5,已购 标准款（微信提醒+同步家人）,"药盒大小合适，无异味，很轻巧，外出携带方便。
内置空间也够大，一个月的药片都可以存。可以存不同的四种药。
提醒功能设置简单，声音也大小合适。"
h***k,2025-05-19 08:42:41,5,已购 ⭐升级款（支持HUAWEI HiLink）,第一次买这种智能药盒，这个牌子做工不错，发货也很快，蓝牙连接和绑定有插曲，但还是成功了，到时间声音提示很方便。就是添加药品扫描包装的条形码时，有的不能自动识别，只能手动增加。
家***1,2025-04-23 09:30:59,5,已购 ⭐升级款（支持HUAWEI HiLink）,因为要每天吃药，经常忘记自己有没有吃～经朋友介绍，特意买了这款吃药提醒～第二天就送到了～很方便～链接手机，如果药盒提醒没有听到，手机还会有提醒～唯一不太方便的就是要换电池的～如果是充电款就更好了～四个仓盒，够用了～
JamesKWD,2021-10-21 13:15:13,5,已购 标准款（微信提醒+同步家人）,"这玩意是我今年买到的最佳产品！
包装精美，产品装配的非常得好
适配手机过程简单易操作
产品除了美观意外，本身毫无异味，这点让我觉得很放心使用
这回再也不怕忘记这回事了！"
R***h,2020-08-25 16:09:17,5,已购 标准款（微信提醒+同步家人）,物流速度特别快，包装纸箱外观良好，打开之后每一件都是好好的，感谢快递小哥用心的配送，这款药品便携盒找好久了，因为品牌大用料好设计时尚又协调而特别喜欢，性价比特别好，这次庆点的价格特别棒立马出手了，非常愉快的一次购物经验。
j***3,2021-02-03 21:52:03,5,已购 标准款（微信提醒+同步家人）,非常漂亮的一款智能药盒，外观很养眼，简洁大方，材质很好，功能很全，可以做到声音和视觉双重提醒，APP可以看到用药情况，药品说明等，对于我整天忙的人用起来更方便。
j***t,2020-12-21 11:22:17,5,已购 标准款（微信提醒+同步家人）,物流非常快，包装严密！用做按时服药小助手，保护隐私到位，贴心提醒周到，方便实用，颜值也高！药仓4个一般使用足够啦~建议可出新款适当再多几个药仓，方便老年同志们使用
j***o,2021-08-10 14:14:45,5,已购 标准款（微信提醒+同步家人）,送给妈妈的礼物，非常好的小物件，小巧精致，可爱的很，设计理念新颖独特，手机能设置，关联起来蛮方便，最特别的是定时提醒功能，对于妈妈这种需要吃多种药的人来说真是极好的，也是特别需要的一个功能。药盒空间容量设计也很合理，用起来很顺手，妈妈非常喜欢，我很满意！
小***父,2021-05-26 01:25:29,5,已购 标准款（微信提醒+同步家人）,宝贝整体还不错，就是实际格子少了点，适合用药较少的人。其中的蓝牙捆绑手机还是比较方便的。京东自营上购买的，送货很快，提醒吃药还是很方便的，可以推荐一下。
f***1,2020-07-27 17:05:01,5,已购 标准款（微信提醒+同步家人）,用下来这个药盒还是很不错的，外观档次高，实用性很强，电池可以用好几个月。
P***e,2025-02-18 19:36:58,5,已购 ⭐升级款（支持HUAWEI HiLink）,很方便很好用的药盒，功能齐全，携带方便，分装也比较合理，有独立设置的提醒时间，还可以和华为手机互联，手机里面方便设置使用，推荐给大家
鸡***屁,2023-05-01 14:58:45,3,已购 ⭐升级款（支持HUAWEI HiLink）,买来闲置，因为天天要吃药，这款不实用。
剁***侠,2023-03-10 21:35:42,5,已购 标准款（微信提醒+同步家人）,无意中发现这个神奇的盒子。在好多app里面看了看评论。自己也有时候经常忘记吃药，所以准备入手一个。收到一看，原本以为很宽，因为盒子外包装很宽，打开一看里面，盒子小巧精致，里面四格，因为我平时吃的营养品，所以四个格子够用了。目前没发现缺点，用着挺美的。
秦轩668,2021-05-26 08:07:21,5,已购 标准款（微信提醒+同步家人）,物流速度给力，产品设计完美，精巧大方，使用起来也比较方便，家里老人因为慢性病需要长期服药，以前实在做不到24小时在身边提醒，总有忘记吃药现象发生，有了这款产品基本解决了此类问题，不错值得推荐，我一次买了两个
走***欢,2023-11-13 16:45:53,5,已购 ⭐升级款（支持HUAWEI HiLink）,不错的一款药盒。智能、方便、好用。之前已经用了很长一段时间了，新的药盒有改进，所以新买了一个。没得说，这款药盒对老年人尤其方便。
4***8,2021-04-07 20:55:12,5,已购 标准款（微信提醒+同步家人）,手感很好，拿起来很有质感，里面四个药盒空间也足够大，够装挺多药的。 使用也挺方便的，定时提醒，非常有效，声音也很大声，听得很清楚。要是再能有优惠就更好了。
5***b,2023-07-31 11:32:47,5,已购 ⭐升级款（支持HUAWEI HiLink）,使用了一段时间还不错，这款药盒尺寸很小，里面有分格子，外出携带很方便。药盒还可以设置闹钟提示，微信也有推送信息，这样就不会漏服药了。盒盖密封性希望能做好点，这回是第二次购买了，准备送朋友的。居然价格还涨价了，不厚道
木***月,2023-02-02 20:45:04,5,已购 ⭐升级款（支持HUAWEI HiLink）,挺不错的药盒，智能提醒很方便，不会让我强迫症发作，忘了有没有吃药，但是没有服药记录，这一点还是可以改进一下。大小比想象中的大一点，适合放在家里用。
y***_,2021-04-15 13:13:11,5,已购 标准款（微信提醒+同步家人）,"特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！
终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接
很实用，到时间提醒吃药，买了两个，给家里老人用，药盒空间很大，小药片的话，差不多能装一周的药。好评！"
打***虫,2021-03-12 14:42:41,5,已购 标准款（微信提醒+同步家人）,外观很简洁大方，里面分为四个小盒子，空间很大。所谓的智能主要体现在定时提醒上，声音不大，总体还不错；电池为纽扣电池，更换也方便。但是个人感觉100多的智能药盒作用仅体现在发声提醒等方面，还是有所欠缺，建议增加一个液晶显示屏，体现药量、保存环境等信息，增强产品的直观体验感。
收***克,2024-07-03 19:43:44,5,已购 ⭐升级款（支持HUAWEI HiLink）,拿到手就拆开了，做工挺精致的，但是电池的设计有丶不好用，不过也有视频教学就还好。总体来说比想象的大，容量中规中矩，但智惠生活里的功能太鸡肋了，害得在小程序使用才行
v***0,2021-08-01 10:00:10,5,已购 标准款（微信提醒+同步家人）,药盒太好用了，能装4种药品。准时提醒，非服药时间开仓会有红色指示灯条警示。到时开仓绿色灯条亮起，该服药的药仓绿色指示灯闪烁，避免错服药品。手机app同步，每次都有药物名称及药理作用和药量显示。体积小巧，携带方便，女士包包也hold住。
抹***蜜,2022-08-14 16:32:43,5,已购 标准款（微信提醒+同步家人）,发货速度挺慢的，下单了好几天后才发货。刚收到货就感冒了，正好用上，扫码录入服药信息挺方便的，到时就响，打开后就不响了，不打开的话一会还响。电池是2032纽扣电池。不知道能续航多久，如果有充电款就好了。
d***0,2022-02-10 10:07:13,5,已购 标准款（微信提醒+同步家人）,这大概是网购的最有用的东西了，总是忘记吃药的人非常适用，基本上能装得下一周的大胶囊，搭配智能手机，随时提醒记录，之前买的保健品好多都放过期了。而且体积设计很合理，方便携带
上***扬,2021-05-05 13:48:59,5,已购 标准款（微信提醒+同步家人）,刚好做活动，价格便宜了很多，性价比超高，真的特别划算。特别特别特别好，没有任何破损的地方，外观也好看，好评。这个颜色很喜欢，摸起来质感不错。
乾***酉,2024-10-20 22:36:44,5,已购 ⭐升级款（支持HUAWEI HiLink）,这个药盒我首发的时候买过一个 好久了都没有问题 这次买来给老人用 怕忘吃药 有提醒提醒过了没吃还会过一会再提醒 这个真的不错 还有这个药仓指示灯非常实用
钓***人,2023-12-21 22:04:41,5,已购 ⭐升级款（支持HUAWEI HiLink）,很适合年轻人用，外形简约，随时随地提醒吃药。药盒看着小，容量非常大。每个药盒可以单独设置吃药时间，非常人性化，提醒声音也很温和，不会让人尴尬。
Y***8,2022-06-13 12:19:38,5,已购 标准款（微信提醒+同步家人）,看了好多款感觉就这款的颜值打动我，呵呵呵。智能功能吧感觉有些鸡肋体验做的一般，就提醒功能感觉还好，脱离蓝牙也会提醒。单纯作为一个药盒我还是挺喜欢这个样子的。
汤***神,2020-11-10 20:52:25,5,已购 标准款（微信提醒+同步家人）,小巧可爱，白色看上去也很干净。盒子不大，可以装4种药，小的药片够2周以上，大的药片💊基本上是一周的量。药盒是电子的，可以设上时间，每天到点会响，提醒吃药，有闹钟的功能。闹铃时，药盒上有条线会亮，都是提醒功能。
k***l,2020-11-01 23:25:06,5,已购 标准款（微信提醒+同步家人）,手感很好，有声音提示，不用担心忘记吃药了，设置也很周到，药品名称可以自动识别，设置提醒时间，用量等，放在包里不占地方，而且找不到时候可以随时呼叫它
吾***尊,2021-08-27 18:01:26,5,已购 标准款（微信提醒+同步家人）,老人有四五种药吃，这个智能药盒有四个药仓，是以按照手机app给每个药仓设定提醒，整体设计还是非常简便，方便，快捷的。性价比很不错
j***3,2021-01-13 08:43:18,5,已购 标准款（微信提醒+同步家人）,产品设计很好，外观简洁又时尚，设计新颖，内部各个分割单独，避免混，每个都有提示，设计好后不依赖手机，单独能提醒，不错的设计，就是价格有点小贵，总体不错
C***J,2023-04-04 08:27:44,5,已购 ⭐升级款（支持HUAWEI HiLink）,设计的很漂亮，电池用的2032有点不环保改成可充电就好了，带分仓可以很好的分类药品最好能够有纸质卡片插槽便于老人查看药品名称，另外提醒声音应该再大一些看人家耳背太小听不见
Y***y,2022-09-27 07:19:00,5,已购 ⭐升级款（支持HUAWEI HiLink）,药盒很好，没有异味，智能提醒可以设置每个分药盒的三餐时间提示，特别是可以在华为智慧生活里操作，跟华为物联网加在一起，操作起来特别方便，推荐购买。
正***p,2020-12-17 14:18:56,5,已购 标准款（微信提醒+同步家人）,很好的一款智能药盒，外观很漂亮，简洁大方，材质很好，功能很全，可以做到声音和双重提醒app可以看到用药情况，药品说明等。
5***b,2023-07-10 08:11:45,5,已购 ⭐升级款（支持HUAWEI HiLink）,这款药盒很小巧携带方便，格子很大可以装不同的药。特别是跟手机绑定后，能通过闹钟提醒，手机上面也有提示，以后就不会忘记吃药了
霖***子,2021-05-12 14:03:53,5,已购 标准款（微信提醒+同步家人）,整体体验还是可以的，颜值不错，纯白色的外观看上去比较舒服。一共有四个槽，一般双休这种外出基本足够使用，还没开始用智能提醒相关的功能，对于我来说，还算满意。比较推荐。
胖***胖,2022-11-05 20:43:37,5,已购 ⭐升级款（支持HUAWEI HiLink）,空间分割可以更小一些。达到2天的带药量比较好。有提醒功能非常不错。不过仅限于盒子在附近。不太远的情况下。总体是款不错的盒子方便也够用。
j***W,2022-01-23 22:48:53,5,已购 标准款（微信提醒+同步家人）,小巧便携，分装实用，对我这种记性不太好的简直太好用了，时尚大气富含高科技，体验感简直了，强力推荐，特别适合那些长期吃保健品或者药物的。
舞***指,2021-02-10 13:37:58,5,已购 标准款（微信提醒+同步家人）,购买的第二个，自己买了一个觉得不错，又买了一个送朋友～颜色干净大方，携带方便，四个藏，出差的时候也够用了，提醒及时～很不错～
j***k,2021-06-05 07:14:07,5,已购 标准款（微信提醒+同步家人）,非常不错，链接手机，随时随地提醒吃药。药盒看着小，容量非常大。每个药盒可以单独设置吃药时间，非常人性化。信赖京东，下次接着购买！
a***n,2021-05-27 22:00:17,5,已购 标准款（微信提醒+同步家人）,"物流超级超级快！质量也非常不错，的确物有所值

缺点，用纽扣电池，后续费用太高。比较耗电。
希望可以有充电的，或者电用的比较久的。

整体很精致。是满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心。"
j***7,2020-11-20 15:42:39,5,已购 标准款（微信提醒+同步家人）,这个产品可以称得上是神器，家里老人身体不好，总是忘吃药，儿女也不能时刻守在身边提醒 况且我们自己有时候也会忘。有了这个神器以后再也不会忘吃药了。有四个舱，可以放四种药，足够用了
s***8,2023-02-15 16:24:33,5,已购 ⭐升级款（支持HUAWEI HiLink）,我是自用的，刚开始吃药，担心忘记买了这款。我手机是华为的直接就能连上。药盒容量对于我来说是够了，至少可以放一周的量，所以还是挺实用的。
